	"category"	"action"	"action"	"keywords"											
1	"time"	"time"	"the time"	"time"											
2	"time"	"date"	"the date"	"date"	"day"										
3	"activities"	"activities, today"	"today's activity schedule"	"activities, today"	"activities"	"activity"	"activity, schedule"	"schedule"	"events"						
4	"activities"	"activities, tomorrow"	"tomorrow's activity schedule"	"activities, tomorrow"	"activity, schedule, tomorrow"	"activity, tomorrow"	"schedule, tomorrow"	"events, tomorrow"							
5	"activities"	"activities, monday"	"Monday's activity schedule"	"activities, monday"	"activity, schedule, monday"	"activity, monday"	"schedule, monday"	"events, monday"							
6	"activities"	"activities, tuesday"	"Tuesday's activity schedule"	"activities, tuesday"	"activity, schedule, tuesday"	"activity, tuesday"	"schedule, tuesday"	"events, tuesday"							
7	"activities"	"activities, wednesday"	"Wednesday's activity schedule"	"activities, wednesday"	"activity, schedule, wednesday"	"activity, wednesday"	"schedule, wednesday"	"events, wednesday"							
8	"activities"	"activities, thursday"	"Thursday's activity schedule"	"activities, thursday"	"activity, schedule, thursday"	"activity, thursday"	"schedule, thursday"	"events, thursday"							
9	"activities"	"activities, friday"	"Friday's activity schedule"	"activities, friday"	"activity, schedule, friday"	"activity, friday"	"schedule, friday"	"events, friday"							
10	"activities"	"activities, saturday"	"Saturday's activity schedule"	"activities, saturday"	"activity, schedule, saturday"	"activity, saturday"	"schedule, saturday"	"events, saturday"							
11	"activities"	"activities, sunday"	"Sunday's activity schedule"	"activities, sunday"	"activity, schedule, sunday"	"activity, sunday"	"schedule, sunday"	"events, sunday"							
12	"weather"	"weather, today"	"today's weather forecast"	"weather"	"weather, today"	"temperature"	"temperature, today"	"forecast"							
13	"weather"	"weather, tomorrow"	"tomorrow's weather forecast"	"weather, tomorrow"	"temperature, tomorrow"										
14	"weather"	"weather, monday"	"Monday's weather forecast"	"weather, monday"	"temperature, monday"										
15	"weather"	"weather, tuesday"	"Tuesday's weather forecast"	"weather, tuesday"	"temperature, tuesday"										
16	"weather"	"weather, wednesday"	"Wednesday's weather forecast"	"weather, wednesday"	"temperature, wednesday"										
17	"weather"	"weather, thursday"	"Thursday's weather forecast"	"weather, thursday"	"temperature, thursday"										
18	"weather"	"weather, friday"	"Friday's weather forecast"	"weather, friday"	"temperature, friday"										
19	"weather"	"weather, saturday"	"Saturday's weather forecast"	"weather, saturday"	"temperature, saturday"										
