	"category"	"action"	"keywords"											
1	"information"	"time"	"time"											
2	"information"	"date"	"date"	"day"										
3	"information"	"today's activities"	"activities, today"	"activities"	"activity"	"activity, schedule"								
4	"information"	"tomorrow's activities"	"activities, tomorrow"	"activity, schedule, tomorrow"	"activity, tomorrow"									
5	"information"	"monday's activities"	"activities, monday"	"activity, schedule, monday"	"activity, monday"									
6	"information"	"tuesday's activities"	"activities, tuesday"	"activity, schedule, tuesday"	"activity, tuesday"									
7	"information"	"wednesday's activities"	"activities, wednesday"	"activity, schedule, wednesday"	"activity, wednesday"									
8	"information"	"thursday's activities"	"activities, thursday"	"activity, schedule, thursday"	"activity, thursday"									
9	"information"	"friday's activities"	"activities, friday"	"activity, schedule, friday"	"activity, friday"									
10	"information"	"saturday's activities"	"activities, saturday"	"activity, schedule, saturday"	"activity, saturday"									
11	"information"	"sunday's activities"	"activities, sunday"	"activity, schedule, sunday"	"activity, sunday"									
12	"information"	"today's weather"	"weather"	"weather, today"	"temperature"	"temperature, today"	"forecast"							
13	"information"	"tomorrow's weather"	"weather, tomorrow"	"temperature, tomorrow"										
14	"information"	"monday's weather"	"weather, monday"	"temperature, monday"										
15	"information"	"tuesday's weather"	"weather, tuesday"	"temperature, tuesday"										
16	"information"	"wednesday's weather"	"weather, wednesday"	"temperature, wednesday"										
17	"information"	"thursday's weather"	"weather, thursday"	"temperature, thursday"										
18	"information"	"friday's weather"	"weather, friday"	"temperature, friday"										
19	"information"	"saturday's weather"	"weather, saturday"	"temperature, saturday"										
20	"information"	"sunday's weather"	"weather, sunday"	"temperature, sunday"										
21	"information"	"three day forecast"	"forecast, three day"	"forecast, four day"	"forecast, week"									
22	"confirmatory"	"yes"	"yes"	"confirming"	"ok"	"yeah"								
23	"confirmatory"	"no"	"nope"	"don't"										
24	"activation"	"activate system"	"wake up"	"good day"	"turn on"	"activate"								
25	"activation"	"turn off system"	"go to sleep"	"good night"	"turn off"	"hibernate"								
26	"phone call"	"make phone call"	"make, phone call"											
27	"phone call"	"hang up phone call"	"hang up"	"end call"	"i'm finished talking"									
28	"phone call"	"answer phone call"	"answer"	"pick up"	"pick up phone"									
29	"attentive mode"	"switch to attentive mode"	"listen up"											
30	"attentive mode"	"exit attentive mode"	"that's all"	"thank you"										
31	"interrupt"	"be quiet"	"be quiet"											
32	"phone call"	"call extension"	"dial extension"	"call extension"										
33	"phone call"	"check contact list"	"who can i talk to"	"whom can i talk to"	"who is on my contact list"									
34	"interface command"	"speak previous command on interface"	"say it"	"speak it"	"repeat"									
35	"miscellaneous"	"do nothing"	"err"											
36	"phone call"	"put call on hold"	"put call on hold"	"hold call"										
37	"phone call"	"resume call"	"resume call"											
38	"phone call"	"voice dial"	"one"	"two"	"three"	"four"	"five"	"six"	"seven"	"eight"	"nine"	"zero"	"oh"	"back"
39	"phone call"	"exit phone call mode"	"cancel"	"exit"										
40	"phone call"	"call contact #1"	"call william"											
41	"phone call"	"call contact #2"	"call william's cell phone"											
42	"phone call"	"call contact #3"	"call the house"											
43	"phone call"	"call contact #4"	"call norma"											
44	"phone call"	"call contact #5"	"call dave's cell phone"											
45	"phone call"	"call contact #6"	"call william's office"											
46	"phone call"	"call contact #7"	"call technical support"	"call tech support"										
47	"phone call"	"call contact #8"	"call sound test service"											
48	"information"	"today's menu"	"menu"	"menu, today"										
49	"information"	"tomorrow's menu"	"menu, tomorrow"											
